GTP	0	4	4	7	7	5	5	5	6	6	7	6	6	6	4	6	4	6	5	6	6	5	3	6	4	5	3	5	4	7	6	9	5
L-serine	4	0	4	3	4	4	3	4	2	5	8	6	3	7	3	3	5	5	3	7	3	2	3	4	5	4	2	4	3	5	3	8	2
ATP(4-)	4	4	0	4	4	2	5	5	5	5	5	5	5	6	4	5	5	3	3	6	5	4	5	4	4	5	4	4	5	4	4	7	4
L-tyrosine	7	3	4	0	7	4	6	6	5	5	8	8	5	7	5	1	7	5	5	9	4	4	6	6	7	6	4	5	5	6	6	9	4
(R)-Pantothenate	7	4	4	7	0	6	5	6	4	7	8	7	6	9	5	7	8	7	6	9	4	5	7	7	7	6	5	5	6	8	6	11	5
Homovanillate	5	4	2	4	6	0	6	6	6	7	7	7	6	8	5	5	6	3	5	8	7	5	5	5	6	6	4	6	5	4	6	7	5
5-oxoprolinate	5	3	5	6	5	6	0	2	3	7	9	4	5	8	1	5	6	7	4	9	5	4	4	5	8	2	2	6	3	4	4	10	4
L-saccharopinate(1-)	5	4	5	6	6	6	2	0	4	6	9	2	5	8	1	5	6	7	3	9	6	4	6	5	7	2	2	5	3	4	3	10	4
S-Sulfo-L-cysteine	6	2	5	5	4	6	3	4	0	7	9	6	4	8	3	5	7	6	4	8	4	3	5	5	7	4	3	5	4	6	4	9	3
beta-hydroxy-beta-methylbutyrate	6	5	5	5	7	7	7	6	7	0	9	6	7	9	6	4	8	8	5	10	6	6	7	6	8	6	5	5	6	7	6	10	6
D-glucose	7	8	5	8	8	7	9	9	9	9	0	9	6	3	8	9	8	5	7	4	9	8	7	8	7	9	8	8	9	9	8	3	6
L-2-aminoadipate(1-)	6	6	5	8	7	7	4	2	6	6	9	0	7	9	3	7	8	8	5	10	6	6	7	6	8	4	4	5	5	6	5	10	6
D-glycerate	6	3	5	5	6	6	5	5	4	7	6	7	0	8	5	6	8	6	4	6	5	3	5	5	5	6	5	6	6	6	6	5	3
myo-inositol	6	7	6	7	9	8	8	8	8	9	3	9	8	0	7	8	8	6	6	5	8	7	7	7	8	8	7	8	8	8	9	6	5
L-glutamate(1-)	4	3	4	5	5	5	1	1	3	6	8	3	5	7	0	4	5	6	3	8	5	4	5	4	7	1	1	5	2	3	3	9	4
L-phenylalanine	6	3	5	1	7	5	5	5	5	4	9	7	6	8	4	0	6	6	5	9	5	5	5	6	7	5	3	5	4	7	6	10	5
Urate	4	5	5	7	8	6	6	6	7	8	8	8	8	8	5	6	0	7	6	7	8	7	7	6	3	6	5	7	6	7	8	10	7
CDPcholine	6	5	3	5	7	3	7	7	6	8	5	8	6	6	6	6	7	0	5	8	7	5	6	6	7	7	5	7	6	5	7	6	3
Citrate	5	3	3	5	6	5	4	3	4	5	7	5	4	6	3	5	6	5	0	8	5	3	5	3	5	4	4	4	5	4	4	8	3
D-gluconate	6	7	6	9	9	8	9	9	8	10	4	10	6	5	8	9	7	8	8	0	9	7	8	9	7	9	7	9	8	10	9	7	7
Taurine	6	3	5	4	4	7	5	6	4	6	9	6	5	8	5	5	8	7	5	9	0	4	6	6	8	6	5	1	6	7	6	10	4
(S)-lactate	5	2	4	4	5	5	4	4	3	6	8	6	3	7	4	5	7	5	3	7	4	0	4	4	6	5	4	5	5	5	5	8	2
L-tryptophan	3	3	5	6	7	5	4	6	5	7	7	7	5	7	5	5	7	6	5	8	6	4	0	6	7	6	4	6	5	7	6	10	4
carnosine	6	4	4	6	7	5	5	5	5	6	8	6	5	7	4	6	6	6	3	9	6	4	6	0	6	5	5	5	6	1	6	9	4
Deoxyinosine	4	5	4	7	7	6	8	7	7	8	7	8	5	8	7	7	3	7	5	7	8	6	7	6	0	7	6	7	7	7	7	8	6
L-glutamine	5	4	5	6	6	6	2	2	4	6	9	4	6	8	1	5	6	7	4	9	6	5	6	5	7	0	2	5	3	4	4	10	5
Reduced glutathione	3	2	4	4	5	4	2	2	3	5	8	4	5	7	1	3	5	5	4	7	5	4	4	5	6	2	0	4	1	4	4	8	4
taurocholic acid	5	4	4	5	5	6	6	5	5	5	8	5	6	8	5	5	7	7	4	9	1	5	6	5	7	5	4	0	5	6	5	9	5
glutathione disulfide	4	3	5	5	6	5	3	3	4	6	9	5	6	8	2	4	6	6	5	8	6	5	5	6	7	3	1	5	0	5	5	9	5
L-histidine	7	5	4	6	8	4	4	4	6	7	9	6	6	8	3	7	7	5	4	10	7	5	7	1	7	4	4	6	5	0	6	9	5
L-threonine	6	3	4	6	6	6	4	3	4	6	8	5	6	9	3	6	8	7	4	9	6	5	6	6	7	4	4	5	5	6	0	10	5
galactitol	9	8	7	9	11	7	10	10	9	10	3	10	5	6	9	10	10	6	8	7	10	8	10	9	8	10	8	9	9	9	10	0	7
N-acetylneuraminate	5	2	4	4	5	5	4	4	3	6	6	6	3	5	4	5	7	3	3	7	4	2	4	4	6	5	4	5	5	5	5	7	0
