Carnitine	0	4.0	1.0	5.0	3.0	7.0	7.0	6.0	7.0	5.0	7.0	7.0	4.0	1.0	4.0	1.0	1.0	7.0	6.0	4.0	1.0	4.0	6.0	6.0	6.0	1.0	4.0	6.0	3.0	6.0	7.0	6.0	6.0	3.0	7.0	4.0	5.0	5.0	5.0	1.0	8.0	3.0	5
3-methyl-2-oxovaleric acid	4.0	0	4.0	4.0	4.0	8.0	6.0	5.0	7.0	4.0	7.0	7.0	5.0	4.0	5.0	3.0	4.0	7.0	6.0	5.0	4.0	5.0	6.0	6.0	7.0	4.0	5.0	7.0	4.0	6.0	7.0	6.0	5.0	4.0	6.0	5.0	5.0	5.0	6.0	4.0	7.0	4.0	6
Butyrylcarnitine	1.0	4.0	0	4.0	3.0	7.0	7.0	6.0	7.0	4.0	7.0	7.0	4.0	2.0	4.0	2.0	2.0	7.0	6.0	4.0	2.0	4.0	6.0	6.0	6.0	2.0	4.0	6.0	3.0	6.0	7.0	6.0	6.0	3.0	6.0	4.0	5.0	5.0	5.0	2.0	8.0	4.0	5
Glycocholic acid	5.0	4.0	4.0	0	3.0	8.0	4.0	3.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	6.0	6.0	4.0	4.0	6.0	4.0	5.0	6.0	4.0	3.0	4.0	6.0	4.0	4.0	3.0	5.0	4.0	5.0	4.0	6
Acetyl-alanine	3.0	4.0	3.0	3.0	0	6.0	5.0	4.0	6.0	4.0	6.0	6.0	3.0	3.0	3.0	4.0	4.0	6.0	5.0	3.0	4.0	3.0	3.0	5.0	4.0	2.0	3.0	5.0	2.0	5.0	6.0	3.0	4.0	2.0	6.0	3.0	4.0	4.0	4.0	4.0	6.0	3.0	4
Glucitol	7.0	8.0	7.0	8.0	6.0	0	10.0	8.0	9.0	8.0	9.0	10.0	7.0	7.0	7.0	8.0	8.0	8.0	9.0	7.0	8.0	5.0	6.0	6.0	6.0	6.0	7.0	9.0	6.0	7.0	7.0	8.0	9.0	6.0	9.0	7.0	8.0	9.0	6.0	8.0	10.0	7.0	8
Folate	7.0	6.0	7.0	4.0	5.0	10.0	0	5.0	6.0	5.0	6.0	7.0	6.0	7.0	6.0	7.0	7.0	7.0	6.0	6.0	7.0	7.0	6.0	6.0	6.0	6.0	5.0	7.0	6.0	6.0	7.0	6.0	5.0	5.0	7.0	5.0	4.0	5.0	6.0	6.0	7.0	7.0	8
Creatine	6.0	5.0	6.0	3.0	4.0	8.0	5.0	0	3.0	6.0	3.0	6.0	6.0	6.0	3.0	6.0	6.0	4.0	4.0	4.0	5.0	6.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	3.0	5.0	5.0	4.0	3.0	6.0	5.0	5.0	4.0	6.0	5.0	2.0	6.0	7
Hippuric acid	7.0	7.0	7.0	5.0	6.0	9.0	6.0	3.0	0	7.0	4.0	8.0	7.0	7.0	4.0	7.0	7.0	7.0	5.0	6.0	6.0	7.0	6.0	5.0	6.0	6.0	6.0	5.0	6.0	4.0	7.0	7.0	6.0	4.0	7.0	6.0	7.0	6.0	7.0	7.0	5.0	7.0	8
Phenylacetil-glutamine	5.0	4.0	4.0	4.0	4.0	8.0	5.0	6.0	7.0	0	7.0	8.0	5.0	4.0	5.0	4.0	4.0	7.0	6.0	4.0	4.0	5.0	6.0	6.0	7.0	4.0	5.0	7.0	4.0	6.0	7.0	6.0	5.0	4.0	6.0	5.0	1.0	5.0	6.0	4.0	8.0	4.0	6
Indole-3-acetate	7.0	7.0	7.0	5.0	6.0	9.0	6.0	3.0	4.0	7.0	0	8.0	7.0	7.0	4.0	7.0	7.0	7.0	5.0	6.0	6.0	7.0	3.0	5.0	6.0	6.0	6.0	5.0	6.0	4.0	7.0	5.0	6.0	4.0	7.0	6.0	7.0	6.0	7.0	7.0	5.0	7.0	8
Threonic acid	7.0	7.0	7.0	5.0	6.0	10.0	7.0	6.0	8.0	8.0	8.0	0	7.0	7.0	7.0	8.0	8.0	8.0	7.0	6.0	8.0	7.0	7.0	9.0	8.0	6.0	5.0	7.0	6.0	8.0	9.0	7.0	6.0	6.0	8.0	5.0	7.0	6.0	6.0	7.0	8.0	7.0	8
Cis-aconitic acid	4.0	5.0	4.0	5.0	3.0	7.0	6.0	6.0	7.0	5.0	7.0	7.0	0	4.0	4.0	5.0	5.0	7.0	6.0	3.0	5.0	4.0	6.0	6.0	5.0	3.0	3.0	6.0	1.0	6.0	7.0	6.0	6.0	3.0	7.0	4.0	4.0	5.0	5.0	5.0	8.0	4.0	5
Adipoyl carnitine	1.0	4.0	2.0	4.0	3.0	7.0	7.0	6.0	7.0	4.0	7.0	7.0	4.0	0	4.0	2.0	2.0	7.0	6.0	4.0	2.0	4.0	6.0	6.0	6.0	2.0	4.0	6.0	3.0	6.0	7.0	6.0	6.0	3.0	6.0	4.0	5.0	4.0	5.0	2.0	8.0	2.0	5
Choline	4.0	5.0	4.0	5.0	3.0	7.0	6.0	3.0	4.0	5.0	4.0	7.0	4.0	4.0	0	5.0	5.0	7.0	5.0	4.0	5.0	4.0	6.0	5.0	5.0	3.0	4.0	5.0	3.0	4.0	7.0	6.0	6.0	3.0	7.0	4.0	5.0	6.0	5.0	5.0	5.0	4.0	5
Tiglylcarnitine	1.0	3.0	2.0	4.0	4.0	8.0	7.0	6.0	7.0	4.0	7.0	8.0	5.0	2.0	5.0	0	2.0	8.0	7.0	5.0	2.0	5.0	6.0	6.0	7.0	2.0	5.0	7.0	4.0	6.0	7.0	6.0	6.0	4.0	6.0	5.0	5.0	5.0	6.0	2.0	8.0	4.0	6
3-hydroxyisovalerylcarnitine	1.0	4.0	2.0	4.0	4.0	8.0	7.0	6.0	7.0	4.0	7.0	8.0	5.0	2.0	5.0	2.0	0	8.0	7.0	5.0	2.0	5.0	6.0	6.0	7.0	2.0	5.0	7.0	4.0	6.0	7.0	6.0	6.0	4.0	6.0	5.0	5.0	5.0	6.0	2.0	8.0	4.0	6
Uric acid	7.0	7.0	7.0	5.0	6.0	8.0	7.0	4.0	7.0	7.0	7.0	8.0	7.0	7.0	7.0	8.0	8.0	0	7.0	4.0	7.0	7.0	7.0	3.0	5.0	6.0	5.0	8.0	6.0	6.0	1.0	7.0	6.0	6.0	8.0	7.0	6.0	6.0	8.0	7.0	6.0	7.0	6
Tyrosine	6.0	6.0	6.0	4.0	5.0	9.0	6.0	4.0	5.0	6.0	5.0	7.0	6.0	6.0	5.0	7.0	7.0	7.0	0	5.0	7.0	6.0	6.0	6.0	6.0	5.0	4.0	3.0	5.0	5.0	8.0	6.0	1.0	5.0	7.0	4.0	6.0	5.0	5.0	6.0	6.0	6.0	7
Aspartic acid	4.0	5.0	4.0	5.0	3.0	7.0	6.0	4.0	6.0	4.0	6.0	6.0	3.0	4.0	4.0	5.0	5.0	4.0	5.0	0	4.0	4.0	5.0	3.0	5.0	3.0	2.0	5.0	2.0	4.0	4.0	5.0	6.0	3.0	6.0	3.0	3.0	6.0	4.0	5.0	6.0	4.0	5
Propionylcarnitine	1.0	4.0	2.0	4.0	4.0	8.0	7.0	5.0	6.0	4.0	6.0	8.0	5.0	2.0	5.0	2.0	2.0	7.0	7.0	4.0	0	5.0	6.0	5.0	7.0	2.0	4.0	7.0	4.0	5.0	6.0	6.0	7.0	4.0	6.0	5.0	5.0	5.0	6.0	2.0	7.0	4.0	6
Acetyl-glucosamine	4.0	5.0	4.0	5.0	3.0	5.0	7.0	6.0	7.0	5.0	7.0	7.0	4.0	4.0	4.0	5.0	5.0	7.0	6.0	4.0	5.0	0	4.0	6.0	5.0	3.0	4.0	6.0	3.0	6.0	7.0	6.0	6.0	3.0	7.0	2.0	5.0	6.0	5.0	5.0	8.0	4.0	5
Tryptophan	6.0	6.0	6.0	4.0	3.0	6.0	6.0	5.0	6.0	6.0	3.0	7.0	6.0	6.0	6.0	6.0	6.0	7.0	6.0	5.0	6.0	4.0	0	6.0	7.0	5.0	4.0	6.0	5.0	6.0	6.0	2.0	5.0	5.0	7.0	4.0	6.0	5.0	5.0	6.0	7.0	6.0	7
Inosine	6.0	6.0	6.0	6.0	5.0	6.0	6.0	4.0	5.0	6.0	5.0	9.0	6.0	6.0	5.0	6.0	6.0	3.0	6.0	3.0	5.0	6.0	6.0	0	4.0	5.0	4.0	6.0	5.0	3.0	2.0	6.0	7.0	5.0	6.0	6.0	6.0	7.0	7.0	6.0	6.0	6.0	7
Deoxyribose	6.0	7.0	6.0	6.0	4.0	6.0	6.0	5.0	6.0	7.0	6.0	8.0	5.0	6.0	5.0	7.0	7.0	5.0	6.0	5.0	7.0	5.0	7.0	4.0	0	5.0	5.0	5.0	4.0	4.0	4.0	7.0	7.0	4.0	8.0	5.0	7.0	7.0	4.0	7.0	7.0	6.0	7
Acetylcarnitine	1.0	4.0	2.0	4.0	2.0	6.0	6.0	5.0	6.0	4.0	6.0	6.0	3.0	2.0	3.0	2.0	2.0	6.0	5.0	3.0	2.0	3.0	5.0	5.0	5.0	0	3.0	5.0	2.0	5.0	6.0	5.0	5.0	2.0	6.0	3.0	4.0	5.0	4.0	2.0	7.0	3.0	4
